"","111","115","261","266","311","312","315","321","322","324","325","331","335","336","341","351","352","356","361","365","366","422","431","441","451","461","525","531","532","533","535","536","541","542","631","632","636","646"
"-270.55",0,10.5002,1.9364,0,0.4209,0.9531,0.1889,0,0.4581,0.8169,0.3665,4.3202,0,0.282,0.0903,5.8618,0,0.2515,131.5343,0,0,0.2681,0,1.6313,0.5086,0.6126,0.3222,1.5745,0.9093,0.2559,0,0,0,0,3.387,0,0,0.324
"-266.95",0,8.2779,1.1165,0,0.3732,0.3857,0.2317,5.0112,5.431,2.8344,0.9178,5.0435,0,0.4673,0.0753,5.008,0,0,100.8842,0,0,0.0803,0,1.1148,0.7013,0.2788,1.1493,0.8768,1.8515,0.287,0,0,0,0.0794,6.2457,0,0,0.151
"-262.45",0,2.0814,2.0708,0,1.1786,0.6955,0,0.6648,4.2823,5.9083,2.854,7.5305,0,0.9219,1.839,5.6273,0,0,102.6099,0,0,0.2666,0,1.7453,0.673,0.364,1.2363,1.8992,2.5364,0.6147,0,0,0,0.1457,7.026,0,0,0
"-257.1",0.1334,9.3056,1.5605,0,0.8339,0.4937,0.3599,1.8926,8.0796,2.1219,2.3756,5.0468,0,0.3548,0.665,6.7659,0,0,125.1008,0,0,0.8114,0,1.512,0.1467,0.4967,1.6787,1.993,1.0871,0.3573,0,0,0,0,1.609,0,0.0708,0.1975
"-253.3",0,8.406,0.198,0,0.789,0,1.6276,0.1892,4.9156,2.5069,2.4731,9.7987,0,0.194,1.149,10.3891,0,0,110.5907,0,0,1.1866,0,1.522,0.7531,0,1.9677,3.6596,1.1092,0.4821,0,0,0,0,2.6772,0,0.198,0.1949
"-251.9",0,22.5945,0,0,0,0,2.9897,1.0563,1.5597,1.5343,0.2928,0.9671,0,0,0,3.8479,0,0,3.6502,0,0,0,0,0.8339,0,0.9489,0.9578,2.3147,0.6854,0.2991,0,0,0,0,0,0,0,0
"-251.3",0,45.5814,0,0,0,0,4.0001,0.3263,2.4854,0.3173,1.2717,1.3357,0,0,0,3.5169,0,0,2.8128,0,0,0,0,0.6895,0,0,0,2.9551,0,0.3208,0,0,0,0,0,0,0,0
"-250.05",0,84.3491,0.4212,0,0,0,5.857,0.1441,0.9535,0.4245,0.4661,0.8735,0,0,0.2708,2.6564,0,0,3.5907,0,0,0,0,0.7417,0,1.5647,1.1249,1.1263,0.543,0.1406,0,0,0,0,0,0,0,0
"-248.15",0.4117,46.0426,0,0,0,0,0.4246,0.411,8.2373,0.4199,0,0.9783,0,0,2.2186,3.7149,0,0,5.5636,0,0,0,0,2.0319,0,3.2198,0,2.3822,3.0501,0.9965,0,0,0,0,0.961,0,0,0
"-246.15",0,34.4922,1.7075,0,0,0,3.6095,0.4692,4.8191,5.841,2.6406,2.6642,0,0,1.668,3.3968,0,0,18.6922,0,0,0,0,3.1935,0,3.0156,0,5.4835,1.6058,0.4625,0,0,0,0,1.5659,0.2624,1.8666,0
"-244.5",0,33.7524,1.9756,0,0,0,0,0,4.9541,0.9878,0,2.978,0,0,0,0,0,0,3.9782,0,0,0,0,0,0,2.9769,0,1.9868,1.9876,0,0,0,0,0,0,0,0,0
"-242.85",0,40.3435,3.7577,1.8861,0,0,2.3701,0.4742,2.371,0,1.4474,1.6608,0,0,0,1.3196,0,0,4.1157,0,0.4798,0,0,0.4697,0,1.3353,0,2.0548,3.1267,0.731,0,0,0,0,0.7273,0,0,0
"-238.5",0,44.312,3.1243,0.2537,0,0,0.9347,0,3.1264,0.8255,1.176,0.3972,0,0,0.1376,0.6245,0.1318,0,16.4516,0,0,0,0,0.4005,0,1.1673,0,3.7906,1.262,0,0,0,0,0,0.2727,0,0,0
"-233.25",0,25.4921,0,0,0,0,1.1796,0,0,0.5934,0.5956,0.5965,0,0,0,0.5873,0,0,18.9847,0,0,0,0,0.5838,0,2.0118,0,2.5987,0.5956,0,0,0,0,0,0,0,0,0
"-229.75",0,43.4031,8.6879,0,0,0,1.2911,0.6535,0,2.3154,0.6459,1.273,0,0.6595,0.6491,3.4543,0,0,35.0154,0,0.6469,0,0,2.2976,0,2.8712,0,4.4242,1.5231,0,0,0,0,0,0.6442,0,0,0
"-224.75",0,43.1033,2.1626,0.9599,0,0,2.8379,0,0.7368,0.7288,1.8715,0.2322,0,0,0.6586,0.4899,0,0,17.8223,0.667,0.482,0,0,1.4322,0,0.2404,0,1.5851,0,0,0,0,0,0,0,0,0,0
"-218.55",0,34.3559,10.5646,5.0064,0.325,0,2.6131,0,1.0412,1.94,2.3173,2.2393,0,0,1.2556,6.3518,0,0,32.0458,1.6279,0.6869,0,0,0.9529,0.5129,0.3575,0,3.9376,0.5059,0,0,0,0,0,0.8825,0.1806,0.5527,0
"-213.8",0,44.9609,5.6383,3.0217,0,0,2.3532,0,0.7118,1.3932,0.9259,2.1146,0,0,0.692,5.3716,0,0,13.0617,0.7141,0.5877,0,0,0.692,0,0.346,0,3.6937,1.0848,0.346,0,0,0,0,1.0602,0,1.1847,0
"-210.25",0,18.747,14.9201,5.4015,0,0,1.6044,0,1.3601,3.9773,4.9447,4.1304,0,0,2.3973,8.2004,0,0,60.4454,2.0065,3.1932,0,0,2.7876,0.3386,3.3931,0,9.2959,0.3382,0.6814,0,0,0.3378,0,4.5028,0,0.9467,0
"-204.9",0,25.9526,5.533,4.3284,0,0,2.6864,0.1283,0.2693,0.4016,2.665,2.0488,0,0,2.9511,2.5873,0,0,28.8618,1.2391,2.0793,0,0,2.4019,0.1305,2.0916,0,11.0476,1.4859,1.1569,0,0,0.2428,0,2.9731,0.3333,0.3444,0
"-199.8",0,36.2983,4.949,2.9516,1.1025,0,4.1894,0,9.3412,10.7298,4.5256,3.9043,0,0,4.815,3.6973,1.192,0,18.4144,0,1.409,0.4774,0.5367,1.4665,0,2.9321,0.1951,6.6588,1.5278,0.8334,0,0,0,0,3.5879,0.5744,1.7186,0
"-196.7",0,29.7229,3.4323,0.5382,2.2731,0,6.9235,0,4.6475,6.1092,3.5197,4.805,0,0,4.2595,1.9788,0,0,25.3518,0,0.1741,0,0.1784,1.8897,0.1758,2.5706,0,4.9338,2.0553,0.4986,0.1786,0.1786,0,0,1.9938,0.3511,1.7262,0
"-192.95",0,32.8467,4.217,1.8338,1.5976,0,0.5764,0,8.3632,4.3544,1.8542,4.034,0,0,4.1391,2.1073,0,0,23.4905,0,1.743,0,0,1.2974,0,2.2124,0,6.0337,2.0932,0.2046,0,0,0,0,3.2655,0.2003,2.2082,0
"-188.75",0,33.4014,1.7011,0.5413,3.0629,0,0.1864,0,6.6015,2.0162,1.4549,3.2622,0,0,3.3803,0.9469,0,0,24.0147,0.0501,0.5801,0,0.5505,1.6401,0,2.021,0,4.2845,1.1441,0.045,0,0,0,0,3.4998,0.708,1.2592,0
"-184.7",0,25.1546,1.7146,0.278,2.1536,0,1.1591,0,9.339,6.928,6.5351,3.6967,0,0,2.8694,0.5734,0,0,24.2472,0,0.2733,1.6929,0,1.822,0,0.7954,0,4.6632,3.3756,1.5071,0,0,0,0,2.4336,0,0.9654,0
"-180.55",0.0687,42.492,0.692,0.1352,0.6131,0.0333,1.7822,0.336,11.127,1.685,1.0558,1.8613,0.4004,0,1.6155,0.7505,0.113,0,20.4747,0,0.0363,0.1423,0.2891,0.2091,0.0654,0.4201,0,2.1047,0.4966,0.3113,0,0,0.035,0,0.9999,0.0691,0.1078,0
